"DATE","WEIGHT","TOE","POP","REC"
1995-11-22,33,"1//18108090",542,FALSE
1995-12-20,28,"1//18108090",398,FALSE
1996-01-16,25,"1//18108090",186,FALSE
1994-12-14,28,"1//18205060",332,FALSE
1995-01-10,26,"1//18205060",196,FALSE
1995-02-08,27,"1//18205060",116,FALSE
1994-12-14,29,"1//18205070",332,FALSE
1995-01-10,26,"1//18205070",196,FALSE
1995-02-07,24,"1//18205070",116,FALSE
1995-09-13,21,"1//18207080",270,FALSE
1994-07-28,24,"1//1830",37,FALSE
1994-12-14,21,"1//18305080",332,FALSE
1995-01-10,21,"1//18305080",196,FALSE
1994-11-02,26,"1//183060",512,FALSE
1994-11-17,21,"1//183060",436,FALSE
1994-12-13,37,"1//183060",332,FALSE
1995-01-10,28,"1//183060",196,FALSE
1995-10-28,31,"1//183090100",653,FALSE
1995-09-13,51,"1//184090100",270,FALSE
1994-11-02,29,"1//1850100",512,FALSE
1994-12-13,33,"1//1850100",332,FALSE
1995-01-10,24,"1//1850100",196,FALSE
1995-09-13,39,"1//185070100",270,FALSE
1994-12-15,24,"1//185080",332,FALSE
1994-06-11,43,"1//2090",27,FALSE
1994-06-29,42,"1//2090",30,FALSE
1994-11-04,34,"1//22060",512,FALSE
1994-09-08,20,"1//22070",95,FALSE
1994-10-05,23,"1//22070",178,FALSE
1994-11-02,26,"1//22070",512,FALSE
1994-11-17,23,"1//22070",436,FALSE
1994-12-14,24,"1//22070",332,FALSE
1994-09-08,18,"1//22090",95,FALSE
1994-10-05,21,"1//22090",178,FALSE
1994-10-25,25,"1//22090",211,FALSE
1994-09-08,19,"1//23080",95,FALSE
1994-10-04,25,"1//23080",178,FALSE
1994-09-08,20,"1//24060",95,FALSE
1994-10-04,25,"1//24060",178,FALSE
1994-10-25,29,"1//24060",211,FALSE
1994-10-04,38,"1//24080",178,FALSE
1994-11-04,37,"1//24080",512,FALSE
1995-03-03,42,"1//24080",147,FALSE
1994-10-04,23,"1//24090",178,FALSE
1994-11-04,28,"1//24090",512,FALSE
1994-12-13,33,"1//24090",332,FALSE
1994-10-04,25,"1//250100",178,FALSE
1994-11-02,32,"1//250100",512,FALSE
1994-11-17,25,"1//250100",436,FALSE
1994-10-04,20,"1//25060",178,FALSE
1994-11-02,26,"1//25060",512,FALSE
1994-11-17,25,"1//25060",436,FALSE
1994-10-04,36,"1//25090",178,FALSE
1994-10-21,40,"1//25090",211,FALSE
1994-09-06,20,"1//2510",95,FALSE
1994-11-16,31,"1//2510",436,FALSE
1994-12-14,25,"1//2510",332,FALSE
1994-12-14,27,"1//25102090",332,FALSE
1994-12-14,24,"1//25104080",332,FALSE
1995-09-13,43,"1//25106080",270,FALSE
1995-09-13,35,"1//251070100",270,FALSE
1995-10-28,41,"1//25108090",653,FALSE
1994-12-15,27,"1//25204080",332,FALSE
1995-01-11,26,"1//25204080",196,FALSE
1995-09-13,26,"1//252070100",270,FALSE
1995-09-29,30,"1//252070100",497,FALSE
1995-10-27,31,"1//252070100",653,FALSE
1996-01-16,26,"1//252070100",186,FALSE
1994-12-15,22,"1//25304070",332,FALSE
1995-10-27,49,"1//25407090",653,FALSE
1994-09-06,21,"1//2550",95,FALSE
1994-10-04,22,"1//2550",178,FALSE
1995-10-27,26,"1//25506090",653,FALSE
1995-11-23,20,"1//25506090",542,FALSE
1994-10-25,30,"1//2570",211,FALSE
1994-11-17,33,"1//2590",436,FALSE
1994-12-15,24,"1//26102090",332,FALSE
1995-01-11,26,"1//26102090",196,FALSE
1995-02-07,29,"1//26102090",116,FALSE
1995-03-03,39,"1//26102090",147,FALSE
1995-01-10,28,"1//26105070",196,FALSE
1995-02-09,29,"1//26105070",116,FALSE
1995-01-11,23,"1//26204090",196,FALSE
1995-01-11,28,"1//26305060",196,FALSE
1995-02-07,24,"1//26305060",116,FALSE
1995-03-03,38,"1//26305080",147,FALSE
1994-11-02,40,"1//263060",512,FALSE
1995-01-11,29,"1//26405060",196,FALSE
1994-11-02,38,"1//264060",512,FALSE
1995-11-24,30,"1//26407090",542,FALSE
1995-09-14,42,"1//26408090",270,FALSE
1995-11-22,31,"1//26507090",542,FALSE
1994-11-02,20,"1//265080",512,FALSE
1994-12-14,24,"1//265090",332,FALSE
1994-09-07,12,"1//2710",95,FALSE
1994-10-05,18,"1//2710",178,FALSE
1995-01-12,25,"1//27104060",196,FALSE
1995-02-07,28,"1//27104060",116,FALSE
1995-02-07,22,"1//27205070",116,FALSE
1994-09-07,24,"1//2730",95,FALSE
1994-10-05,25,"1//2730",178,FALSE
1995-02-07,19,"1//27304090",116,FALSE
1995-09-27,38,"1//27306070",497,FALSE
1995-09-27,25,"1//27306090",497,FALSE
1995-10-28,30,"1//27306090",653,FALSE
1995-11-23,26,"1//27306090",542,FALSE
1995-12-19,20,"1//27306090",398,FALSE
1996-01-16,22,"1//27306090",186,FALSE
1996-02-14,26,"1//27306090",125,FALSE
1994-11-02,23,"1//273080",512,FALSE
1994-12-13,32,"1//273080",332,FALSE
1995-01-11,23,"1//273080",196,FALSE
1995-09-27,21,"1//273090100",497,FALSE
1995-02-09,45,"1//27405060",116,FALSE
1995-09-27,43,"1//27406080",497,FALSE
1995-10-27,51,"1//27406080",653,FALSE
1995-09-27,18,"1//27507090",497,FALSE
1995-09-27,18,"1//275090100",497,FALSE
1994-09-07,25,"1//2760",95,FALSE
1994-10-04,29,"1//2760",178,FALSE
1994-11-04,39,"1//2760",512,FALSE
1995-09-27,19,"1//281060100",497,FALSE
1995-09-27,50,"1//28107080",497,FALSE
1995-11-22,23,"1//28108090",542,FALSE
1995-03-02,32,"1//28205060",147,FALSE
1995-03-17,29,"1//28205060",72,FALSE
1995-04-04,33,"1//28205060",101,FALSE
1995-03-02,43,"1//28304080",147,FALSE
1995-03-02,46,"1//28305070",147,FALSE
1995-03-02,35,"1//28305080",147,FALSE
1995-03-21,32,"1//28305080",57,FALSE
1995-03-02,31,"1//28305090",147,FALSE
1995-03-17,29,"1//28305090",72,FALSE
1995-04-04,30,"1//28305090",101,FALSE
1995-09-27,19,"1//28307090",497,FALSE
1995-10-29,36,"1//28307090",653,FALSE
1995-09-27,33,"1//283080100",497,FALSE
1995-09-27,25,"1//28308090",497,FALSE
1995-10-27,34,"1//28308090",653,FALSE
1994-09-07,23,"1//2840",95,FALSE
1994-10-04,23,"1//2840",178,FALSE
1994-10-21,29,"1//2840",211,FALSE
1994-11-09,29,"1//2840",361,FALSE
1994-12-13,38,"1//2840",332,FALSE
1994-11-03,25,"1//285060",512,FALSE
1995-09-27,23,"1//285060100",497,FALSE
1994-11-03,23,"1//285070",512,FALSE
1995-09-27,28,"1//28507090",497,FALSE
1995-09-27,20,"1//285080100",497,FALSE
1994-06-11,19,"1//3070",27,FALSE
1994-06-28,32,"1//3070",30,FALSE
1994-06-11,52,"1//3090",27,FALSE
1994-10-04,23,"1//31090",178,FALSE
1994-11-03,30,"1//31090",512,FALSE
1994-10-04,27,"1//32080",178,FALSE
1994-11-17,31,"1//32090",436,FALSE
1994-10-04,24,"1//33060",178,FALSE
1994-11-04,32,"1//33060",512,FALSE
1994-10-04,23,"1//34060",178,FALSE
1994-11-02,28,"1//34060",512,FALSE
1994-11-17,30,"1//34060",436,FALSE
1994-12-13,36,"1//34060",332,FALSE
1995-01-10,28,"1//34060",196,FALSE
1995-02-07,27,"1//34060",116,FALSE
1994-11-15,31,"1//34090",436,FALSE
1994-06-30,56,"1//35",30,TRUE
1994-10-04,35,"1//35070",178,FALSE
1994-11-04,39,"1//35070",512,FALSE
1994-10-04,17,"1//35080",178,FALSE
1994-11-02,25,"1//35080",512,FALSE
1994-11-17,20,"1//35080",436,FALSE
1994-10-04,29,"1//35100",178,FALSE
1994-10-25,34,"1//35100",211,FALSE
1994-11-16,34,"1//35100",436,FALSE
1995-03-03,32,"1//35203080",147,FALSE
1995-03-03,48,"1//35204060",147,FALSE
1995-09-27,17,"1//35206080",497,FALSE
1995-09-27,44,"1//35207080",497,FALSE
1995-09-27,49,"1//35307080",497,FALSE
1994-11-03,30,"1//353090",512,FALSE
1994-10-04,32,"1//3540",178,FALSE
1994-11-09,36,"1//3540",361,FALSE
1994-12-13,42,"1//3540",332,FALSE
1995-01-11,32,"1//3540",196,FALSE
1995-02-07,34,"1//3540",116,FALSE
1995-03-04,26,"1//35405080",147,FALSE
1995-03-21,24,"1//35405080",57,FALSE
1995-04-05,26,"1//35405080",101,FALSE
1995-01-12,29,"1//3550100",196,FALSE
1995-02-08,27,"1//3550100",116,FALSE
1995-03-02,32,"1//3550100",147,FALSE
1994-10-04,20,"1//36100",178,FALSE
1995-03-04,34,"1//36105060",147,FALSE
1994-11-03,24,"1//362070",512,FALSE
1995-11-22,16,"1//362080100",542,FALSE
1995-09-28,15,"1//36208090",497,FALSE
1995-10-27,26,"1//36208090",653,FALSE
1995-11-22,20,"1//36208090",542,FALSE
1995-12-19,20,"1//36208090",398,FALSE
1995-09-28,41,"1//36406070",497,FALSE
1995-10-27,45,"1//36406070",653,FALSE
1994-11-17,27,"1//3650",436,FALSE
1995-09-28,37,"1//365090100",497,FALSE
1994-10-04,22,"1//3670",178,FALSE
1994-10-25,23,"1//3670",211,FALSE
1994-11-16,28,"1//3670",436,FALSE
