"DATE1","DATE2","W1","W2","TOE","FER1","FER2","POP"
1994-03-15,1994-04-06,34,43,"1//110",TRUE,TRUE,9
1994-03-15,1994-04-06,22,39,"1//130",TRUE,TRUE,9
1994-03-15,1994-04-06,27,28,"1//18",TRUE,TRUE,9
1994-06-09,1994-07-20,16,43,"1//1060",TRUE,TRUE,27
1994-06-09,1994-07-19,46,43,"1//8100",TRUE,TRUE,27
1994-06-10,1994-06-28,12,24,"1//10100",TRUE,TRUE,27
1994-06-28,1994-07-26,24,38,"1//10100",TRUE,TRUE,30
1994-06-11,1994-06-29,43,42,"1//2090",TRUE,TRUE,27
1994-06-29,1994-07-21,42,34,"1//2090",TRUE,TRUE,30
1994-06-11,1994-06-28,19,32,"1//3070",TRUE,TRUE,27
1994-06-28,1994-07-19,32,48,"1//3070",TRUE,TRUE,30
1994-06-11,1994-06-30,52,58,"1//3090",TRUE,TRUE,27
1994-06-11,1994-06-28,20,44,"1//4070",TRUE,TRUE,27
1994-06-28,1994-07-19,44,53,"1//4070",TRUE,TRUE,30
1994-06-28,1994-07-26,27,46,"1//50100",TRUE,TRUE,30
1994-06-28,1994-07-19,32,41,"1//5080",TRUE,TRUE,30
1994-06-29,1994-07-26,40,49,"1//1550",TRUE,TRUE,30
1994-09-06,1994-10-04,34,34,"1//1610",TRUE,TRUE,95
1994-10-04,1994-11-04,34,38,"1//1610",TRUE,TRUE,178
1994-07-28,1994-09-06,42,39,"1//18100",TRUE,TRUE,37
1994-07-28,1994-09-07,24,34,"1//1830",TRUE,TRUE,37
1994-11-02,1994-11-17,44,39,"1//11070",TRUE,TRUE,512
1994-11-17,1994-12-13,39,51,"1//11070",TRUE,TRUE,436
1994-11-02,1994-12-13,42,50,"1//12060",TRUE,TRUE,512
1994-09-06,1994-10-04,40,39,"1//130100",TRUE,TRUE,95
1994-10-04,1994-10-22,39,37,"1//130100",TRUE,TRUE,178
1994-10-22,1994-11-09,37,39,"1//130100",TRUE,TRUE,211
1994-11-09,1994-12-13,39,44,"1//130100",TRUE,TRUE,361
1994-09-06,1994-10-05,34,34,"1//14090",TRUE,TRUE,95
1994-10-05,1994-10-25,34,35,"1//14090",TRUE,TRUE,178
1994-09-06,1994-10-04,31,29,"1//1790 B",TRUE,TRUE,95
1994-10-04,1994-11-03,29,38,"1//1790 B",TRUE,TRUE,178
1994-11-03,1994-12-13,38,36,"1//1790 B",TRUE,TRUE,512
1994-09-06,1994-10-04,20,23,"1//2510",TRUE,TRUE,95
1994-11-16,1994-12-14,31,25,"1//2510",TRUE,TRUE,436
1994-12-14,1995-01-10,25,27,"1//2510",TRUE,TRUE,332
1994-09-06,1994-10-04,21,22,"1//2550",TRUE,TRUE,95
1994-10-04,1994-11-02,22,35,"1//2550",TRUE,TRUE,178
1994-10-25,1994-11-09,30,33,"1//2570",TRUE,TRUE,211
1994-11-17,1994-12-14,33,30,"1//2590",TRUE,TRUE,436
1994-09-07,1994-10-05,12,18,"1//2710",TRUE,TRUE,95
1994-10-05,1994-11-03,18,31,"1//2710",TRUE,TRUE,178
1994-09-07,1994-10-05,24,25,"1//2730",TRUE,TRUE,95
1994-10-05,1994-11-04,25,34,"1//2730",TRUE,TRUE,178
1994-09-07,1994-10-04,25,29,"1//2760",TRUE,TRUE,95
1994-10-04,1994-11-04,29,39,"1//2760",TRUE,TRUE,178
1994-11-04,1994-12-14,39,31,"1//2760",TRUE,TRUE,512
1994-09-07,1994-10-04,23,23,"1//2840",TRUE,TRUE,95
1994-10-04,1994-10-21,23,29,"1//2840",TRUE,TRUE,178
1994-10-21,1994-11-09,29,29,"1//2840",TRUE,TRUE,211
1994-11-09,1994-12-13,29,38,"1//2840",TRUE,TRUE,361
1994-12-13,1995-01-10,38,27,"1//2840",TRUE,TRUE,332
1994-11-04,1994-12-13,34,44,"1//22060",TRUE,TRUE,512
1994-09-08,1994-10-05,20,23,"1//22070",TRUE,TRUE,95
1994-10-05,1994-11-02,23,26,"1//22070",TRUE,TRUE,178
1994-11-02,1994-11-17,26,23,"1//22070",TRUE,TRUE,512
1994-11-17,1994-12-14,23,24,"1//22070",TRUE,TRUE,436
1994-12-14,1995-01-10,24,24,"1//22070",TRUE,TRUE,332
1994-09-08,1994-10-05,18,21,"1//22090",TRUE,TRUE,95
1994-10-05,1994-10-25,21,25,"1//22090",TRUE,TRUE,178
1994-10-25,1994-11-15,25,28,"1//22090",TRUE,TRUE,211
1994-09-08,1994-10-04,19,25,"1//23080",TRUE,TRUE,95
1994-10-04,1994-11-02,25,35,"1//23080",TRUE,TRUE,178
1994-09-08,1994-10-04,20,25,"1//24060",TRUE,TRUE,95
1994-10-04,1994-10-25,25,29,"1//24060",TRUE,TRUE,178
1994-10-25,1994-11-15,29,29,"1//24060",TRUE,TRUE,211
1994-10-04,1994-11-04,38,37,"1//24080",TRUE,TRUE,178
1994-11-04,1994-12-14,37,37,"1//24080",TRUE,TRUE,512
1995-03-03,1995-04-05,42,34,"1//24080",TRUE,TRUE,147
1994-10-04,1994-11-04,23,28,"1//24090",TRUE,TRUE,178
1994-11-04,1994-12-13,28,33,"1//24090",TRUE,TRUE,512
1994-12-13,1995-01-10,33,29,"1//24090",TRUE,TRUE,332
1994-10-04,1994-11-02,25,32,"1//250100",TRUE,TRUE,178
1994-11-02,1994-11-17,32,25,"1//250100",TRUE,TRUE,512
1994-11-17,1994-12-14,25,27,"1//250100",TRUE,TRUE,436
1994-10-04,1994-11-02,20,26,"1//25060",TRUE,TRUE,178
1994-11-02,1994-11-17,26,25,"1//25060",TRUE,TRUE,512
1994-11-17,1994-12-13,25,34,"1//25060",TRUE,TRUE,436
1994-10-04,1994-10-21,36,40,"1//25090",TRUE,TRUE,178
1994-10-21,1994-11-09,40,38,"1//25090",TRUE,TRUE,211
1994-10-04,1994-11-03,23,30,"1//31090",TRUE,TRUE,178
1994-11-03,1994-12-13,30,35,"1//31090",TRUE,TRUE,512
1994-10-04,1994-11-03,27,31,"1//32080",TRUE,TRUE,178
1994-11-17,1994-12-13,31,35,"1//32090",TRUE,TRUE,436
1994-10-04,1994-11-04,24,32,"1//33060",TRUE,TRUE,178
1994-11-04,1994-12-13,32,35,"1//33060",TRUE,TRUE,512
1994-10-04,1994-11-02,23,28,"1//34060",TRUE,TRUE,178
1994-11-02,1994-11-17,28,30,"1//34060",TRUE,TRUE,512
1994-11-17,1994-12-13,30,36,"1//34060",TRUE,TRUE,436
1994-12-13,1995-01-10,36,28,"1//34060",TRUE,TRUE,332
1995-01-10,1995-02-07,28,27,"1//34060",TRUE,TRUE,196
1995-02-07,1995-03-02,27,30,"1//34060",TRUE,TRUE,116
1994-11-15,1994-12-13,31,39,"1//34090",TRUE,TRUE,436
1994-10-04,1994-11-04,35,39,"1//35070",TRUE,TRUE,178
1994-11-04,1994-12-13,39,44,"1//35070",TRUE,TRUE,512
1994-10-04,1994-11-02,17,25,"1//35080",TRUE,TRUE,178
1994-11-02,1994-11-17,25,20,"1//35080",TRUE,TRUE,512
1994-11-17,1994-12-13,20,33,"1//35080",TRUE,TRUE,436
1994-10-04,1994-10-25,29,34,"1//35100",TRUE,TRUE,178
1994-10-25,1994-11-16,34,34,"1//35100",TRUE,TRUE,211
1994-11-16,1994-12-13,34,41,"1//35100",TRUE,TRUE,436
1994-10-04,1994-11-09,32,36,"1//3540",TRUE,TRUE,178
1994-11-09,1994-12-13,36,42,"1//3540",TRUE,TRUE,361
1994-12-13,1995-01-11,42,32,"1//3540",TRUE,TRUE,332
1995-01-11,1995-02-07,32,34,"1//3540",TRUE,TRUE,196
1995-02-07,1995-03-02,34,42,"1//3540",TRUE,TRUE,116
1994-10-04,1994-11-02,20,32,"1//36100",TRUE,TRUE,178
1994-11-17,1994-12-13,27,35,"1//3650",TRUE,TRUE,436
1994-10-04,1994-10-25,22,23,"1//3670",TRUE,TRUE,178
1994-10-25,1994-11-16,23,28,"1//3670",TRUE,TRUE,211
1994-11-16,1994-12-13,28,33,"1//3670",TRUE,TRUE,436
1994-10-04,1994-11-03,30,32,"1//3750",TRUE,TRUE,178
1994-11-03,1994-12-13,32,36,"1//3750",TRUE,TRUE,512
1994-10-04,1994-11-03,20,26,"1//3770",TRUE,TRUE,178
1994-11-03,1994-12-13,26,34,"1//3770",TRUE,TRUE,512
1994-10-04,1994-11-04,25,35,"1//3820",TRUE,TRUE,178
1994-11-04,1994-12-13,35,40,"1//3820",TRUE,TRUE,512
1994-12-13,1995-01-11,40,28,"1//3820",TRUE,TRUE,332
1995-01-11,1995-02-08,28,31,"1//3820",TRUE,TRUE,196
1995-02-08,1995-03-02,31,36,"1//3820",TRUE,TRUE,116
1994-10-04,1994-11-04,21,23,"1//4530",TRUE,TRUE,178
1994-11-04,1994-12-13,23,31,"1//4530",TRUE,TRUE,512
1994-12-13,1995-01-11,31,26,"1//4530",TRUE,TRUE,332
1994-12-13,1995-01-11,35,23,"1//42070",TRUE,TRUE,332
1994-10-05,1994-10-25,34,45,"1//42080",TRUE,TRUE,178
1994-10-25,1994-11-17,45,33,"1//42080",TRUE,TRUE,211
1994-11-17,1994-12-14,33,35,"1//42080",TRUE,TRUE,436
1994-10-05,1994-10-25,23,27,"1//43080",TRUE,TRUE,178
1994-10-25,1994-11-17,27,26,"1//43080",TRUE,TRUE,211
1994-11-17,1994-12-13,26,38,"1//43080",TRUE,TRUE,436
1995-03-04,1995-03-21,34,36,"1//43090",TRUE,TRUE,147
1995-08-08,1995-09-12,48,54,"1//43090",TRUE,TRUE,170
1995-09-12,1995-09-27,54,49,"1//43090",TRUE,TRUE,270
1994-11-17,1994-12-13,29,37,"1//4650",TRUE,TRUE,436
1994-10-05,1994-11-02,21,26,"1//4660",TRUE,TRUE,178
1994-11-02,1994-11-17,26,25,"1//4660",TRUE,TRUE,512
1994-11-17,1994-12-14,25,26,"1//4660",TRUE,TRUE,436
1994-12-14,1995-01-10,26,27,"1//4660",TRUE,TRUE,332
1995-01-10,1995-02-07,27,22,"1//4660",TRUE,TRUE,196
1994-10-05,1994-11-04,26,34,"1//4680",TRUE,TRUE,178
1994-10-05,1994-11-02,17,19,"1//4760",TRUE,TRUE,178
1994-10-05,1994-11-03,18,20,"1//4790",TRUE,TRUE,178
1994-10-05,1994-10-25,22,25,"1//4810",TRUE,TRUE,178
1994-10-25,1994-11-09,25,29,"1//4810",TRUE,TRUE,211
1994-11-09,1994-12-13,29,34,"1//4810",TRUE,TRUE,361
1994-10-05,1994-11-02,23,28,"1//4820",TRUE,TRUE,178
1994-11-02,1994-12-13,28,36,"1//4820",TRUE,TRUE,512
1994-12-13,1995-01-11,36,28,"1//4820",TRUE,TRUE,332
1995-01-11,1995-02-07,28,30,"1//4820",TRUE,TRUE,196
1995-02-07,1995-03-02,30,36,"1//4820",TRUE,TRUE,116
1994-10-05,1994-11-02,27,37,"1//4830",TRUE,TRUE,178
1994-11-02,1994-12-13,37,34,"1//4830",TRUE,TRUE,512
1994-10-05,1994-11-02,21,26,"1//4840",TRUE,TRUE,178
1994-11-02,1994-11-17,26,23,"1//4840",TRUE,TRUE,512
1994-10-05,1994-11-02,18,25,"1//4850",TRUE,TRUE,178
1994-11-02,1994-11-17,25,24,"1//4850",TRUE,TRUE,512
1994-11-17,1994-12-15,24,26,"1//4850",TRUE,TRUE,436
1994-12-15,1995-01-10,26,25,"1//4850",TRUE,TRUE,332
1995-01-10,1995-02-09,25,26,"1//4850",TRUE,TRUE,196
1995-02-09,1995-03-02,26,33,"1//4850",TRUE,TRUE,116
1994-10-05,1994-10-22,24,31,"1//4880",TRUE,TRUE,178
1994-10-22,1994-11-15,31,29,"1//4880",TRUE,TRUE,211
1994-11-15,1994-12-13,29,37,"1//4880",TRUE,TRUE,436
1994-12-13,1995-01-10,37,25,"1//4880",TRUE,TRUE,332
1994-10-05,1994-10-22,25,26,"1//4890",TRUE,TRUE,178
1994-10-06,1994-11-04,23,29,"1//45060",TRUE,TRUE,178
1994-11-04,1994-12-14,29,28,"1//45060",TRUE,TRUE,512
1994-12-14,1995-01-10,25,25,"1//45080",TRUE,TRUE,332
1995-01-10,1995-02-07,25,24,"1//45080",TRUE,TRUE,196
1995-02-07,1995-03-02,24,31,"1//45080",TRUE,TRUE,116
1994-10-06,1994-11-15,21,24,"1//51070",TRUE,TRUE,178
1994-11-15,1994-12-13,24,30,"1//51070",TRUE,TRUE,436
1994-10-13,1994-11-03,23,27,"1//151060",TRUE,TRUE,166
1994-10-13,1994-11-03,24,31,"1//530100",TRUE,TRUE,166
1994-10-13,1994-11-04,16,23,"1//54090",TRUE,TRUE,166
1994-10-13,1994-11-02,21,28,"1//55060",TRUE,TRUE,166
1994-10-13,1994-11-09,25,34,"1//55080",TRUE,TRUE,166
1994-10-13,1994-11-02,25,29,"1//55090",TRUE,TRUE,166
1994-11-02,1994-11-17,29,25,"1//55090",TRUE,TRUE,512
1994-11-17,1994-12-15,25,22,"1//55090",TRUE,TRUE,436
1994-12-15,1995-01-12,22,27,"1//55090",TRUE,TRUE,332
1994-10-13,1994-11-02,28,30,"1//61080",TRUE,TRUE,166
1994-10-13,1994-11-03,24,34,"1//620100",TRUE,TRUE,166
1994-11-03,1994-12-14,34,30,"1//620100",TRUE,TRUE,512
1994-12-14,1995-01-10,30,28,"1//620100",TRUE,TRUE,332
1994-10-13,1994-11-03,20,27,"1//62070",TRUE,TRUE,166
1994-10-13,1994-11-03,31,36,"1//62090",TRUE,TRUE,166
1994-10-21,1994-11-09,21,26,"1//63090",TRUE,TRUE,211
1994-10-21,1994-11-09,33,34,"1//64070",TRUE,TRUE,211
1994-11-09,1994-12-13,34,42,"1//64070",TRUE,TRUE,361
1994-10-22,1994-11-09,17,21,"1//65060",TRUE,TRUE,211
1994-10-22,1994-11-16,42,39,"1//71070",TRUE,TRUE,211
1994-10-25,1994-11-17,23,27,"1//74060",TRUE,TRUE,211
1994-11-17,1994-12-13,27,34,"1//74060",TRUE,TRUE,436
1994-10-25,1994-11-09,33,37,"1//750100",TRUE,TRUE,211
1994-10-25,1994-11-09,19,23,"1//75080",TRUE,TRUE,211
1994-10-25,1994-11-09,19,26,"1//810100",TRUE,TRUE,211
1994-10-25,1994-11-09,43,45,"1//81060",TRUE,TRUE,211
1994-11-02,1994-12-13,20,32,"1//1510100",TRUE,TRUE,512
1994-11-02,1994-11-17,25,20,"1//154090",TRUE,TRUE,512
1994-11-02,1994-12-13,26,37,"1//1610100",TRUE,TRUE,512
1994-11-02,1994-12-13,46,44,"1//1630100",TRUE,TRUE,512
1994-11-02,1994-12-13,45,47,"1//1650100",TRUE,TRUE,512
1994-11-02,1994-11-17,36,36,"1//171080",TRUE,TRUE,512
1994-11-02,1994-11-17,28,25,"1//172060",TRUE,TRUE,512
1994-11-17,1994-12-13,25,34,"1//172060",TRUE,TRUE,436
1994-11-02,1994-12-13,33,39,"1//172080",TRUE,TRUE,512
1994-12-14,1995-01-11,28,28,"1//173080",TRUE,TRUE,332
1995-01-11,1995-02-09,28,28,"1//173080",TRUE,TRUE,196
1995-02-09,1995-03-02,28,44,"1//173080",TRUE,TRUE,116
1994-11-02,1994-11-17,30,25,"1//1740100",TRUE,TRUE,512
1994-11-17,1994-12-14,25,24,"1//1740100",TRUE,TRUE,436
1994-12-14,1995-01-10,24,25,"1//1740100",TRUE,TRUE,332
1994-11-02,1994-11-17,26,21,"1//183060",TRUE,TRUE,512
1994-11-17,1994-12-13,21,37,"1//183060",TRUE,TRUE,436
1994-12-13,1995-01-10,37,28,"1//183060",TRUE,TRUE,332
1995-01-10,1995-02-07,28,28,"1//183060",TRUE,TRUE,196
1994-11-02,1994-12-13,29,33,"1//1850100",TRUE,TRUE,512
1994-12-13,1995-01-10,33,24,"1//1850100",TRUE,TRUE,332
1995-01-10,1995-02-07,24,22,"1//1850100",TRUE,TRUE,196
1994-12-15,1995-01-12,24,27,"1//185080",TRUE,TRUE,332
1994-11-02,1994-11-17,40,31,"1//263060",TRUE,TRUE,512
1994-11-02,1994-11-17,38,36,"1//264060",TRUE,TRUE,512
1994-11-02,1994-11-17,20,22,"1//265080",TRUE,TRUE,512
1994-12-14,1995-01-10,24,22,"1//265090",TRUE,TRUE,332
1994-11-02,1994-12-13,23,32,"1//273080",TRUE,TRUE,512
1994-12-13,1995-01-11,32,23,"1//273080",TRUE,TRUE,332
1995-01-11,1995-02-07,23,20,"1//273080",TRUE,TRUE,196
1994-11-02,1994-11-17,34,28,"1//84090",TRUE,TRUE,512
1994-11-17,1994-12-13,28,41,"1//84090",TRUE,TRUE,436
1994-11-03,1994-12-13,25,35,"1//285060",TRUE,TRUE,512
1994-11-03,1994-12-13,23,32,"1//285070",TRUE,TRUE,512
1994-11-03,1994-12-13,30,37,"1//353090",TRUE,TRUE,512
1995-01-12,1995-02-08,29,27,"1//3550100",TRUE,TRUE,196
1995-02-08,1995-03-02,27,32,"1//3550100",TRUE,TRUE,116
1995-03-02,1995-03-17,32,32,"1//3550100",TRUE,TRUE,147
1994-11-03,1994-12-13,24,31,"1//362070",TRUE,TRUE,512
1994-11-03,1994-12-14,29,22,"1//3710100",TRUE,TRUE,512
1994-11-03,1994-12-13,30,36,"1//372090",TRUE,TRUE,512
1994-11-03,1994-12-13,23,38,"1//373060",TRUE,TRUE,512
1994-11-03,1994-12-14,30,21,"1//373090",TRUE,TRUE,512
1994-11-03,1994-12-13,28,37,"1//374060",TRUE,TRUE,512
1994-11-04,1994-12-13,22,34,"1//383070",TRUE,TRUE,512
1994-12-13,1995-01-10,34,24,"1//383070",TRUE,TRUE,332
1994-11-04,1994-12-15,24,22,"1//385070",TRUE,TRUE,512
1994-12-15,1995-01-12,22,27,"1//385070",TRUE,TRUE,332
1994-11-04,1994-12-13,32,38,"1//385080",TRUE,TRUE,512
1994-11-04,1994-12-14,42,37,"1//453060",TRUE,TRUE,512
1994-12-14,1995-01-11,37,39,"1//453060",TRUE,TRUE,332
1995-01-11,1995-02-07,39,43,"1//453060",TRUE,TRUE,196
1995-02-07,1995-03-14,43,41,"1//453060",TRUE,TRUE,116
1995-03-14,1995-04-04,41,39,"1//453060",TRUE,TRUE,72
1994-11-04,1994-12-14,31,30,"1//4550100",TRUE,TRUE,512
1994-11-04,1994-12-14,29,29,"1//4630100",TRUE,TRUE,512
1994-11-09,1994-12-13,22,30,"1//472060",TRUE,TRUE,361
1994-11-09,1994-12-14,20,20,"1//472080",TRUE,TRUE,361
1994-12-14,1995-01-10,20,21,"1//472080",TRUE,TRUE,332
1995-01-10,1995-02-08,21,22,"1//472080",TRUE,TRUE,196
1995-02-08,1995-03-02,22,32,"1//472080",TRUE,TRUE,116
1995-03-02,1995-04-04,32,30,"1//472080",TRUE,TRUE,147
1995-04-04,1995-05-02,30,40,"1//472080",TRUE,TRUE,101
1995-05-02,1995-05-30,40,43,"1//472080",TRUE,TRUE,78
1994-11-09,1994-12-13,36,36,"1//474080",TRUE,TRUE,361
1994-12-13,1995-01-10,36,26,"1//474080",TRUE,TRUE,332
1994-11-15,1994-12-13,30,35,"1//15102080",TRUE,TRUE,436
1994-12-13,1995-01-10,35,27,"1//15102080",TRUE,TRUE,332
1995-01-10,1995-02-07,27,24,"1//15102080",TRUE,TRUE,196
1994-11-15,1994-12-14,30,26,"1//482060",TRUE,TRUE,436
1994-11-15,1994-12-13,31,33,"1//482080",TRUE,TRUE,436
1994-11-15,1994-12-13,25,31,"1//484090",TRUE,TRUE,436
1994-12-13,1995-01-12,31,24,"1//484090",TRUE,TRUE,332
1995-01-12,1995-02-08,24,24,"1//484090",TRUE,TRUE,196
1995-02-08,1995-03-02,24,30,"1//484090",TRUE,TRUE,116
1995-03-02,1995-03-17,30,28,"1//484090",TRUE,TRUE,147
1994-11-16,1994-12-14,23,19,"1//15105060",TRUE,TRUE,436
1994-11-16,1994-12-13,26,31,"1//15203090",TRUE,TRUE,436
1995-02-09,1995-03-02,19,27,"1//15205070",TRUE,TRUE,116
1995-03-02,1995-04-04,27,27,"1//15205070",TRUE,TRUE,147
1995-04-04,1995-05-02,27,35,"1//15205070",TRUE,TRUE,101
1995-05-02,1995-05-31,35,53,"1//15205070",TRUE,TRUE,78
1994-11-16,1994-12-13,21,30,"1//16102060",TRUE,TRUE,436
1994-11-17,1994-12-13,30,32,"1//16105080",TRUE,TRUE,436
1994-11-17,1994-12-13,27,32,"1//16105090",TRUE,TRUE,436
1994-11-17,1994-12-13,22,31,"1//16204090",TRUE,TRUE,436
1994-12-13,1995-01-10,31,21,"1//16204090",TRUE,TRUE,332
1994-11-17,1994-12-13,22,31,"1//16205060",TRUE,TRUE,436
1994-11-17,1994-12-13,31,36,"1//16304080",TRUE,TRUE,436
1994-11-17,1994-12-15,24,21,"1//16405090",TRUE,TRUE,436
1994-12-15,1995-01-11,21,22,"1//16405090",TRUE,TRUE,332
1995-04-05,1995-05-02,31,40,"1//16405090",TRUE,TRUE,101
1995-03-04,1995-04-04,34,30,"1//17105060",TRUE,TRUE,147
1994-12-13,1995-01-10,26,18,"1//17203080",TRUE,TRUE,332
1994-12-13,1995-01-11,34,26,"1//17305090",TRUE,TRUE,332
1994-12-13,1995-01-10,34,24,"1//17405060",TRUE,TRUE,332
1994-12-13,1995-01-11,42,32,"1//18103060",TRUE,TRUE,332
1994-12-14,1995-01-10,28,26,"1//18205060",TRUE,TRUE,332
1995-01-10,1995-02-08,26,27,"1//18205060",TRUE,TRUE,196
1995-02-08,1995-03-02,27,30,"1//18205060",TRUE,TRUE,116
1994-12-14,1995-01-10,29,26,"1//18205070",TRUE,TRUE,332
1995-01-10,1995-02-07,26,24,"1//18205070",TRUE,TRUE,196
1995-02-07,1995-03-02,24,31,"1//18205070",TRUE,TRUE,116
1994-12-14,1995-01-10,21,21,"1//18305080",TRUE,TRUE,332
1995-01-10,1995-02-07,21,20,"1//18305080",TRUE,TRUE,196
1994-12-14,1995-01-10,27,27,"1//25102090",TRUE,TRUE,332
1994-12-14,1995-01-10,24,21,"1//25104080",TRUE,TRUE,332
1994-12-15,1995-01-11,27,26,"1//25204080",TRUE,TRUE,332
1995-01-11,1995-02-09,26,37,"1//25204080",TRUE,TRUE,196
1994-12-15,1995-01-11,22,21,"1//25304070",TRUE,TRUE,332
1994-12-15,1995-01-11,24,26,"1//26102090",TRUE,TRUE,332
1995-01-11,1995-02-07,26,29,"1//26102090",TRUE,TRUE,196
1995-02-07,1995-03-03,29,39,"1//26102090",TRUE,TRUE,116
1995-03-03,1995-04-04,39,33,"1//26102090",TRUE,TRUE,147
1995-01-10,1995-02-09,28,29,"1//26105070",TRUE,TRUE,196
1995-02-09,1995-03-02,29,47,"1//26105070",TRUE,TRUE,116
1995-01-11,1995-02-08,23,21,"1//26204090",TRUE,TRUE,196
1995-01-11,1995-02-07,28,24,"1//26305060",TRUE,TRUE,196
1995-02-07,1995-03-02,24,27,"1//26305060",TRUE,TRUE,116
1995-03-03,1995-04-04,38,34,"1//26305080",TRUE,TRUE,147
1995-01-11,1995-02-09,29,30,"1//26405060",TRUE,TRUE,196
1995-01-12,1995-02-07,25,28,"1//27104060",TRUE,TRUE,196
1995-02-07,1995-03-02,28,25,"1//27104060",TRUE,TRUE,116
1995-02-07,1995-03-02,22,25,"1//27205070",TRUE,TRUE,116
1995-02-07,1995-03-02,19,27,"1//27304090",TRUE,TRUE,116
1995-02-09,1995-03-04,45,29,"1//27405060",TRUE,TRUE,116
1995-03-02,1995-03-17,32,29,"1//28205060",TRUE,TRUE,147
1995-03-17,1995-04-04,29,33,"1//28205060",TRUE,TRUE,72
1995-04-04,1995-05-02,33,42,"1//28205060",TRUE,TRUE,101
1995-03-02,1995-03-17,43,35,"1//28304080",TRUE,TRUE,147
1995-03-02,1995-03-17,46,31,"1//28305070",TRUE,TRUE,147
1995-03-02,1995-03-21,35,32,"1//28305080",TRUE,TRUE,147
1995-03-21,1995-04-05,32,34,"1//28305080",TRUE,TRUE,57
1995-03-02,1995-03-17,31,29,"1//28305090",TRUE,TRUE,147
1995-03-17,1995-04-04,29,30,"1//28305090",TRUE,TRUE,72
1995-04-04,1995-04-19,30,36,"1//28305090",TRUE,TRUE,101
1995-03-03,1995-03-21,32,32,"1//35203080",TRUE,TRUE,147
1995-03-03,1995-03-21,48,30,"1//35204060",TRUE,TRUE,147
1995-03-03,1995-04-04,38,35,"1//45102060",TRUE,TRUE,147
1995-03-04,1995-03-21,26,24,"1//35405080",TRUE,TRUE,147
1995-03-21,1995-04-05,24,26,"1//35405080",TRUE,TRUE,57
1995-04-05,1995-05-04,26,35,"1//35405080",TRUE,TRUE,101
1995-03-04,1995-04-04,34,27,"1//36105060",TRUE,TRUE,147
1995-04-04,1995-05-02,27,35,"1//37104090",TRUE,TRUE,101
1995-04-04,1995-05-02,32,42,"1//38103090",TRUE,TRUE,101
1995-09-14,1995-09-29,76,55,"1//38105070",TRUE,TRUE,270
1995-04-04,1995-04-19,27,29,"1//38203070",TRUE,TRUE,101
1995-04-04,1995-05-02,33,41,"1//38204070",TRUE,TRUE,101
1995-04-04,1995-05-02,34,35,"1//38204080",TRUE,TRUE,101
1995-04-04,1995-04-19,29,33,"1//38205070",TRUE,TRUE,101
1995-04-19,1995-05-04,33,39,"1//38205070",TRUE,TRUE,62
1995-04-04,1995-04-19,32,34,"1//38304070",TRUE,TRUE,101
1995-04-05,1995-05-03,27,38,"1//38305060",TRUE,TRUE,101
1995-05-03,1995-05-31,38,45,"1//38305060",TRUE,TRUE,78
1995-04-05,1995-05-02,25,36,"1//38405060",TRUE,TRUE,101
1995-04-05,1995-05-02,39,42,"1//38405080",TRUE,TRUE,101
1995-05-02,1995-05-30,42,61,"1//38405080",TRUE,TRUE,78
1995-04-06,1995-05-02,29,41,"1//45104070",TRUE,TRUE,101
1995-05-02,1995-05-31,41,42,"1//45104070",TRUE,TRUE,78
1995-04-06,1995-05-02,38,41,"1//45104090",TRUE,TRUE,101
1995-04-06,1995-05-02,36,38,"1//45105080",TRUE,TRUE,101
1995-08-06,1995-09-14,52,60,"1//45105080",TRUE,TRUE,170
1995-04-06,1995-05-02,39,43,"1//45203080",TRUE,TRUE,101
1995-09-12,1995-09-28,48,49,"1//45405080",TRUE,TRUE,270
1995-09-28,1995-10-29,49,48,"1//45405080",TRUE,TRUE,497
1995-05-03,1995-05-30,34,47,"1//46104080",TRUE,TRUE,78
1995-11-22,1995-12-19,38,33,"1//47104060",TRUE,TRUE,542
1995-09-12,1995-09-27,42,42,"1//47104070",TRUE,TRUE,270
1995-09-27,1995-10-28,42,44,"1//47104070",TRUE,TRUE,497
1995-09-12,1995-09-27,39,36,"1//47105060",TRUE,TRUE,270
1995-09-12,1995-09-28,45,40,"1//47305070",TRUE,TRUE,270
1995-09-12,1995-09-27,42,36,"1//47305070 B",TRUE,TRUE,270
1995-09-27,1995-10-27,36,32,"1//47305070 B",TRUE,TRUE,497
1995-09-13,1995-09-29,47,41,"1//47405070",TRUE,TRUE,270
1995-09-29,1995-10-29,41,42,"1//47405070",TRUE,TRUE,497
1995-08-02,1995-09-12,30,46,"1//48102090",TRUE,TRUE,170
1995-09-12,1995-09-27,46,42,"1//48102090",TRUE,TRUE,270
1995-09-27,1995-10-27,42,49,"1//48102090",TRUE,TRUE,497
1995-10-27,1995-11-22,49,36,"1//48102090",TRUE,TRUE,653
1995-11-22,1995-12-19,36,32,"1//48102090",TRUE,TRUE,542
1995-08-02,1995-09-12,28,33,"1//48203090",TRUE,TRUE,170
1995-09-12,1995-09-28,33,34,"1//48203090",TRUE,TRUE,270
1995-09-28,1995-10-27,34,36,"1//48203090",TRUE,TRUE,497
1995-09-13,1995-09-28,40,33,"1//48204060",TRUE,TRUE,270
1995-09-28,1995-10-27,33,33,"1//48204060",TRUE,TRUE,497
1995-08-02,1995-09-12,33,34,"1//48305070",TRUE,TRUE,170
